# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.8000  1.414227628556409e-01  -9.620585016551489e-01  4.627782803034751e-01  3.722171969710525e-02
0.8100  1.317644620535777e-01  -9.694280430096911e-01  4.698953652867998e-01  3.010463471370491e-02
0.8200  1.220375634392985e-01  -9.757892386831539e-01  4.760823191649246e-01  2.391768083550724e-02
0.8300  1.122518110397441e-01  -9.812103819445358e-01  4.813869068178709e-01  1.861309318249181e-02
0.8400  1.024162543173320e-01  -9.857620344006897e-01  4.858633942328932e-01  1.413660576740496e-02
0.8500  9.253922719257268e-02  -9.895166883638269e-01  4.895716382752575e-01  1.042836172498066e-02
0.8600  8.262833033221686e-02  -9.925484517459947e-01  4.925762145316856e-01  7.423785468497822e-03
0.8700  7.269041646720124e-02  -9.949327575155507e-01  4.949455959887488e-01  5.054404011385515e-03
0.8800  6.273157848599932e-02  -9.967460994163917e-01  4.967513933508957e-01  3.248606649195324e-03
0.8900  5.275714003355649e-02  -9.980657953386075e-01  4.980676659124436e-01  1.932334087610251e-03
0.9000  4.277164833355544e-02  -9.989697794432497e-01  4.989703101204475e-01  1.029689879575344e-03
0.9100  3.277886894203959e-02  -9.995364238871860e-01  4.995365313385922e-01  4.634686614061746e-04
0.9200  2.278178213311506e-02  -9.998443907690451e-01  4.998444028761614e-01  1.555971238189736e-04
0.9300  1.278258061222683e-02  -9.999725147259475e-01  4.999725151036676e-01  2.748489630119222e-05
0.9400  2.782668249018794e-03  -9.999997164544100e-01  4.999997164544502e-01  2.835455134999605e-07
0.9500  -7.217322624708445e-03  -9.999950523523554e-01  4.999950523645950e-01  4.947283978358906e-06
0.9600  -1.721704245468927e-02  -9.999328368602941e-01  4.999328391157378e-01  6.716053284344860e-05
0.9700  -2.721552626577617e-02  -9.997346941162192e-01  4.997347293098252e-01  2.652703387702806e-04
0.9800  -3.721102026246412e-02  -9.993217329038151e-01  4.993219629269420e-01  6.780367216742978e-04
0.9900  -4.720098226938215e-02  -9.986151825884747e-01  4.986161414481063e-01  1.383858200537155e-03
1.0000  -5.718208341241541e-02  -9.975364933354157e-01  4.975395277679590e-01  2.460471880718109e-03
1.0100  -6.715021095632792e-02  -9.960074671477357e-01  4.960154373070239e-01  3.984562341692663e-03
1.0200  -7.710047260552198e-02  -9.939504193860920e-01  4.939687180988940e-01  6.031281549868272e-03
1.0300  -8.702720257035734e-02  -9.912883702597183e-01  4.913263165060842e-01  8.673683142729651e-03
1.0400  -9.692396969534560e-02  -9.879452655720665e-01  4.880179238831305e-01  1.198207576574014e-02
1.0500  -1.067835879371989e-01  -9.838462257650391e-01  4.839766979760561e-01  1.602330167287638e-02
1.0600  -1.165981294698250e-01  -9.789178220357384e-01  4.791400511495968e-01  2.085994849940213e-02
1.0700  -1.263589406796337e-01  -9.730883780016699e-01  4.734504957009604e-01  2.654950394810892e-02
1.0800  -1.360566612976832e-01  -9.662882950678880e-01  4.668565345926030e-01  3.314346505654028e-02
1.0900  -1.456812468950336e-01  -9.584503993068909e-01  4.593135839657693e-01  4.068641568345037e-02
1.1000  -1.552219949440017e-01  -9.495103073041522e-01  4.507849118384128e-01  4.921508781088543e-02
1.1100  -1.646675746207113e-01  -9.394068080547850e-01  4.412425755098399e-01  5.875742413953766e-02
1.1200  -1.740060604933306e-01  -9.280822576265122e-01  4.306683384605619e-01  6.933166118889518e-02
1.1300  -1.832249702057109e-01  -9.154829829380812e-01  4.190545460246035e-01  8.094545362493213e-02
1.1400  -1.923113062278417e-01  -9.015596906484340e-01  4.064049379010500e-01  9.359506174856236e-02
1.1500  -2.012516017028096e-01  -8.862678768186965e-01  3.927353747403601e-01  1.072646249093263e-01
1.1600  -2.100319703750162e-01  -8.695682327052527e-01  3.780744556650683e-01  1.219255439846881e-01
1.1700  -2.186381605366359e-01  -8.514270417768497e-01  3.624640037344387e-01  1.375359959153827e-01
1.1800  -2.270556128790883e-01  -8.318165628309563e-01  3.459593970999531e-01  1.540406025499277e-01
1.1900  -2.352695220841950e-01  -8.107153939234040e-01  3.286297249721901e-01  1.713702746777437e-01
1.2000  -2.432649019362965e-01  -7.881088117291851e-01  3.105577495625941e-01  1.894422500873852e-01
1.2100  -2.510266536825984e-01  -7.639890809290062e-01  2.918396578893738e-01  2.081603417606430e-01
1.2200  -2.585396373151795e-01  -7.383557282726965e-01  2.725845907365520e-01  2.274154089134938e-01
1.2300  -2.657887453952409e-01  -7.112157761125433e-01  2.529139400956836e-01  2.470860595543828e-01
1.2400  -2.727589789891851e-01  -6.825839304312844e-01  2.329604110415102e-01  2.670395886085681e-01
1.2500  -2.794355252379103e-01  -6.524827187133438e-01  2.128668491097783e-01  2.871331505403034e-01
1.2600  -2.858038360361886e-01  -6.209425734245416e-01  1.927848397455461e-01  3.072151599045303e-01
1.2700  -2.918497072591216e-01  -5.880018573734331e-01  1.728730921373036e-01  3.271269075127601e-01
1.2800  -2.975593579382982e-01  -5.537068278229065e-01  1.532956255888529e-01  3.467043740611909e-01
1.2900  -3.029195087622925e-01  -5.181115368976875e-01  1.342197823332419e-01  3.657802173167752e-01
1.3000  -3.079174592552856e-01  -4.812776665836438e-01  1.158140961760985e-01  3.841859034738870e-01
1.3100  -3.125411629745727e-01  -4.432742974277574e-01  9.824605138003598e-02  4.017539482699140e-01
1.3200  -3.167793000630865e-01  -4.041776109107215e-01  8.167977058074929e-02  4.183202290691622e-01
