# Spherical Bessel functions via up and down recursion
#     logx                 Up Recursion             Down Recursion           Compare Up/Down         Compare Down/GSL         Compare Up/GSL
1.0606978404          1.0173221327e-01          1.0173221327e-01        -1.6166168246e+01         1.0000000000e+00         1.0000000000e+00
1.0644579892          1.0315729341e-01          1.0315729341e-01        -1.5695088437e+01         1.0000000000e+00         1.0000000000e+00
1.0681858617          1.0437134694e-01          1.0437134694e-01        -1.5876261045e+01         1.0000000000e+00         1.0000000000e+00
1.0718820073          1.0536155715e-01          1.0536155715e-01        -1.6181391933e+01         1.0000000000e+00         1.0000000000e+00
1.0755469614          1.0611575716e-01          1.0611575716e-01        -1.5883459634e+01         1.0000000000e+00         1.0000000000e+00
1.0791812460          1.0662253057e-01          1.0662253057e-01        -1.6186558739e+01         1.0000000000e+00         1.0000000000e+00
1.0827853703          1.0687131096e-01          1.0687131096e-01        -1.5886540894e+01         1.0000000000e+00         1.0000000000e+00
1.0863598307          1.0685247962e-01          1.0685247962e-01        -1.5409343107e+01         1.0000000000e+00         1.0000000000e+00
1.0899051114          1.0655746046e-01          1.0655746046e-01        -1.5487323610e+01         1.0000000000e+00         1.0000000000e+00
1.0934216852          1.0597881139e-01          1.0597881139e-01        -1.4882898802e+01         1.0000000000e+00         1.0000000000e+00
1.0969100130          1.0511031149e-01          1.0511031149e-01        -1.4176033702e+01         1.0000000000e+00         1.0000000000e+00
1.1003705451          1.0394704290e-01          1.0394704290e-01        -1.5330423852e+01         1.0000000000e+00         1.0000000000e+00
1.1038037210          1.0248546690e-01          1.0248546690e-01        -1.5868342041e+01         1.0000000000e+00         1.0000000000e+00
1.1072099696          1.0072349321e-01          1.0072349321e-01        -1.5559780541e+01         1.0000000000e+00         1.0000000000e+00
1.1105897103          9.8660541908e-02          9.8660541908e-02        -1.5851823254e+01         1.0000000000e+00         1.0000000000e+00
1.1139433523          9.6297597157e-02          9.6297597157e-02        -1.5665203949e+01         1.0000000000e+00         1.0000000000e+00
1.1172712957          9.3637252109e-02          9.3637252109e-02        -1.6130158413e+01         1.0000000000e+00         1.0000000000e+00
1.1205739312          9.0683744369e-02          9.0683744369e-02        -1.5639117942e+01         1.0000000000e+00         1.0000000000e+00
1.1238516410          8.7442981426e-02          8.7442981426e-02        -1.6100434710e+01         1.0000000000e+00         1.0000000000e+00
1.1271047984          8.3922555568e-02          8.3922555568e-02        -1.6082588453e+01         6.6974214654e-01         6.6974214654e-01
1.1303337685          8.0131747816e-02          8.0131747816e-02        -1.6062514368e+01         3.5608466269e-01         3.5608466269e-01
1.1335389084          7.6081520525e-02          7.6081520525e-02        -1.5341018932e+01         1.2674905897e-01         1.2674905897e-01
1.1367205672          7.1784498349e-02          7.1784498349e-02                     -inf         4.8753728009e-02         4.8753728009e-02
