# omega0=1, alpha=3
# theta0=3.14159, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
1.905929940784511e+01 3.140812965937256e+00 -2.360704074695352e-04
1.915049222797834e+01 3.140791138053378e+00 -2.426793573109759e-04
1.924168504811157e+01 3.140768699083213e+00 -2.494733290526717e-04
1.933287786824480e+01 3.140745631918999e+00 -2.564575024962035e-04
1.942407068837803e+01 3.140721918974032e+00 -2.636372024541368e-04
1.951526350851126e+01 3.140697542169256e+00 -2.710179028096864e-04
1.960645632864449e+01 3.140672482919481e+00 -2.786052306898529e-04
1.969764914877772e+01 3.140646722119216e+00 -2.864049707555492e-04
1.978884196891095e+01 3.140620240128099e+00 -2.944230696117126e-04
1.988003478904418e+01 3.140593016755923e+00 -3.026656403408774e-04
1.997122760917741e+01 3.140565031247244e+00 -3.111389671639070e-04
2.006242042931064e+01 3.140536262265562e+00 -3.198495102306841e-04
2.015361324944387e+01 3.140506687877044e+00 -3.288039105453135e-04
2.024480606957710e+01 3.140476285533810e+00 -3.380089950291324e-04
2.033599888971033e+01 3.140445032056738e+00 -3.474717817253749e-04
2.042719170984356e+01 3.140412903617796e+00 -3.571994851494895e-04
2.051838452997679e+01 3.140379875721870e+00 -3.671995217893084e-04
2.060957735011002e+01 3.140345923188093e+00 -3.774795157592447e-04
2.070077017024325e+01 3.140311020130647e+00 -3.880473046126002e-04
2.079196299037648e+01 3.140275139939028e+00 -3.989109453166492e-04
2.088315581050971e+01 3.140238255257755e+00 -4.100787203948324e-04
2.097434863064294e+01 3.140200337965517e+00 -4.215591442412702e-04
2.106554145077617e+01 3.140161359153733e+00 -4.333609696117126e-04
2.115673427090940e+01 3.140121289104513e+00 -4.454931942959905e-04
2.124792709104263e+01 3.140080097268001e+00 -4.579650679776801e-04
2.133911991117586e+01 3.140037752239083e+00 -4.707860992854473e-04
2.143031273130909e+01 3.139994221733445e+00 -4.839660630419467e-04
2.152150555144232e+01 3.139949472562958e+00 -4.975150077155774e-04
