numerical = 6.595916710632087065e-01   exact = 6.595916710632087065e-01
numerical = 7.165848482433911926e-01   exact = 7.165848482433918587e-01
numerical = 7.691512145627398267e-01   exact = 7.691512145627409369e-01
numerical = 8.169660333736699087e-01   exact = 8.169660333736653568e-01
numerical = 8.597339214291713771e-01   exact = 8.597339214291653819e-01
numerical = 8.971906736573718177e-01   exact = 8.971906736573640462e-01
numerical = 9.291048953281321188e-01   exact = 9.291048953281269007e-01
numerical = 9.552794315288655191e-01   exact = 9.552794315288819504e-01
numerical = 9.755525851187932806e-01   exact = 9.755525851187891728e-01
numerical = 9.897991156371801491e-01   exact = 9.897991156371879207e-01
numerical = 9.979310129954230835e-01   exact = 9.979310129954176434e-01
numerical = 9.998980411723891182e-01   exact = 9.998980411723934481e-01
numerical = 9.956880485552113136e-01   exact = 9.956880485551998783e-01
numerical = 9.853270430075008468e-01   exact = 9.853270430075072861e-01
numerical = 9.688790312020867379e-01   exact = 9.688790312020776341e-01
numerical = 9.464456232099066613e-01   exact = 9.464456232099006661e-01
numerical = 9.181654047886635972e-01   exact = 9.181654047886689263e-01
numerical = 8.842130812483803837e-01   exact = 8.842130812483826041e-01
numerical = 8.447983981829778610e-01   exact = 8.447983981829733091e-01
numerical = 8.001648457353160993e-01   exact = 8.001648457353047750e-01
numerical = 7.505881544001207217e-01   exact = 7.505881544001191674e-01
numerical = 6.963745916573833572e-01   exact = 6.963745916573740313e-01
numerical = 6.378590699587456392e-01   exact = 6.378590699587383117e-01
numerical = 5.754030777554783871e-01   exact = 5.754030777554662857e-01
numerical = 5.093924463490242527e-01   exact = 5.093924463490209220e-01
numerical = 4.402349663600925167e-01   exact = 4.402349663600955698e-01
numerical = 3.683578685405887176e-01   exact = 3.683578685405979325e-01
numerical = 2.942051844913331493e-01   exact = 2.942051844913249337e-01
numerical = 2.182350035898438789e-01   exact = 2.182350035898449336e-01
numerical = 1.409166430743565845e-01   exact = 1.409166430743618303e-01
numerical = 6.272774876576610315e-02   exact = 6.272774876576416025e-02
numerical = -1.584865566140101698e-02   exact = -1.584865566141199431e-02
numerical = -9.432715263047383725e-02   exact = -9.432715263047831977e-02
numerical = -1.722229294028140567e-01   exact = -1.722229294028215507e-01
numerical = -2.490547730816433381e-01   exact = -2.490547730816433381e-01
numerical = -3.243480433771074867e-01   exact = -3.243480433771091520e-01
numerical = -3.976376047682931847e-01   exact = -3.976376047682822490e-01
numerical = -4.684706999478300271e-01   exact = -4.684706999478363554e-01
numerical = -5.364097467985771139e-01   exact = -5.364097467985819989e-01
numerical = -6.010350416228799064e-01   exact = -6.010350416228859016e-01
numerical = -6.619473519255051341e-01   exact = -6.619473519255092420e-01
numerical = -7.187703827325080397e-01   exact = -7.187703827325053751e-01
numerical = -7.711531012100750759e-01   exact = -7.711531012100875104e-01
numerical = -8.187719052228631389e-01   exact = -8.187719052228727978e-01
numerical = -8.613326224348166749e-01   exact = -8.613326224348124560e-01
numerical = -8.985723276031273299e-01   exact = -8.985723276031279960e-01
numerical = -9.302609668385968256e-01   exact = -9.302609668385991570e-01
numerical = -9.562027787981385307e-01   exact = -9.562027787981322025e-01
numerical = -9.762375040299569040e-01   exact = -9.762375040299491324e-01
numerical = -9.902413750004959159e-01   exact = -9.902413750004948056e-01
numerical = -9.981278806870309550e-01   exact = -9.981278806870226283e-01
numerical = -9.998483010124769033e-01   exact = -9.998483010124722403e-01
numerical = -9.953920078210712896e-01   exact = -9.953920078210836131e-01
numerical = -9.847865305354294163e-01   exact = -9.847865305354335241e-01
numerical = -9.680973860892866378e-01   exact = -9.680973860892763128e-01
numerical = -9.454276741868229417e-01   exact = -9.454276741868191669e-01
numerical = -9.169174403887755398e-01   exact = -9.169174403887592195e-01
numerical = -8.827428109597496020e-01   exact = -8.827428109597461603e-01
numerical = -8.431149048218298248e-01   exact = -8.431149048218296027e-01
numerical = -7.982785293355246781e-01   exact = -7.982785293355258993e-01
numerical = -7.485106679654649486e-01   exact = -7.485106679654560669e-01
numerical = -6.941187691732604303e-01   exact = -6.941187691732760845e-01
numerical = -6.354388471084541079e-01   exact = -6.354388471084613244e-01
numerical = -5.728334058302996246e-01   exact = -5.728334058302976262e-01
numerical = -5.066891998844436085e-01   exact = -5.066891998844315070e-01
numerical = -4.374148450683891798e-01   exact = -4.374148450683827960e-01
numerical = -3.654382941459238254e-01   exact = -3.654382941459276002e-01
numerical = -2.912041931043800602e-01   exact = -2.912041931043771736e-01
numerical = -2.151711342870446797e-01   exact = -2.151711342870526178e-01
numerical = -1.378088233699519549e-01   exact = -1.378088233699427956e-01
numerical = -5.959517768415958927e-02   exact = -5.959517768416185135e-02
numerical = 1.898662619038184174e-02   exact = 1.898662619038015559e-02
numerical = 9.745113732111869431e-02   exact = 9.745113732110949334e-02
numerical = 1.753136293690278069e-01   exact = 1.753136293690239211e-01
numerical = 2.520930950587355612e-01   exact = 2.520930950587337294e-01
numerical = 3.273152176733142849e-01   exact = 3.273152176733182261e-01
numerical = 4.005153012173532923e-01   exact = 4.005153012173568450e-01
numerical = 4.712411411464227373e-01   exact = 4.712411411464145217e-01
numerical = 5.390558179287655571e-01   exact = 5.390558179287610052e-01
numerical = 6.035403961815902774e-01   exact = 6.035403961815988261e-01
numerical = 6.642965127075274312e-01   exact = 6.642965127075206588e-01
numerical = 7.209488374431634039e-01   exact = 7.209488374431487490e-01
numerical = 7.731473921171753139e-01   exact = 7.731473921171867492e-01
numerical = 8.205697122938946375e-01   exact = 8.205697122938911958e-01
numerical = 8.629228394457033602e-01   exact = 8.629228394457085782e-01
numerical = 8.999451307487320584e-01   exact = 8.999451307487346119e-01
numerical = 9.314078754206454036e-01   exact = 9.314078754206561728e-01
numerical = 9.571167076160755904e-01   exact = 9.571167076160831400e-01
numerical = 9.769128071508427213e-01   exact = 9.769128071508262900e-01
numerical = 9.906738806375254836e-01   exact = 9.906738806375287032e-01
numerical = 9.983149169714852222e-01   exact = 9.983149169714793381e-01
numerical = 9.997887124995384900e-01   exact = 9.997887124995251673e-01
numerical = 9.950861626277512917e-01   exact = 9.950861626277494043e-01
numerical = 9.842363180664739364e-01   exact = 9.842363180664720490e-01
numerical = 9.673062053651005909e-01   exact = 9.673062053651099168e-01
numerical = 9.444004128455645297e-01   exact = 9.444004128455709690e-01
numerical = 9.156604444921291330e-01   exact = 9.156604444921334629e-01
numerical = 8.812638457892784105e-01   exact = 8.812638457892707500e-01
numerical = 8.414231069076582026e-01   exact = 8.414231069076658631e-01
numerical = 7.963843500141725151e-01   exact = 7.963843500141810638e-01
numerical = 7.464258088150775849e-01   exact = 7.464258088150612647e-01
numerical = 6.918561097253259629e-01   exact = 6.918561097253357328e-01
numerical = 6.330123652826137315e-01   exact = 6.330123652826127323e-01
numerical = 5.702580915835899766e-01   exact = 5.702580915835887554e-01
numerical = 5.039809626086166894e-01   exact = 5.039809626086214633e-01
numerical = 4.345904153072780995e-01   exact = 4.345904153072665532e-01
numerical = 3.625151202398781414e-01   exact = 3.625151202398835260e-01
numerical = 2.882003334006265072e-01   exact = 2.882003334006191242e-01
numerical = 2.121051455814575992e-01   exact = 2.121051455814559061e-01
numerical = 1.346996462696762042e-01   exact = 1.346996462696655461e-01
numerical = 5.646201959916553881e-02   exact = 5.646201959916678781e-02
numerical = -2.212440970397755099e-02   exact = -2.212440970398788995e-02
numerical = -1.005741621329007546e-01   exact = -1.005741621329213631e-01
numerical = -1.784026025227530843e-01   exact = -1.784026025227600509e-01
numerical = -2.551289339573363790e-01   exact = -2.551289339573447057e-01
numerical = -3.302791679646207013e-01   exact = -3.302791679646346346e-01
numerical = -4.033890526518959518e-01   exact = -4.033890526519013364e-01
numerical = -4.740069406917396533e-01   exact = -4.740069406917370998e-01
numerical = -5.416965794414716484e-01   exact = -5.416965794414809743e-01
numerical = -6.060398059596069364e-01   exact = -6.060398059596103781e-01
numerical = -6.666391302703497113e-01   exact = -6.666391302703560395e-01
numerical = -7.231201909178703868e-01   exact = -7.231201909178796017e-01
numerical = -7.751340676405670260e-01   exact = -7.751340676405837904e-01
numerical = -8.223594368785888120e-01   exact = -8.223594368785935860e-01
numerical = -8.645045567984570578e-01   exact = -8.645045567984581680e-01
numerical = -9.013090695722838497e-01   exact = -9.013090695722809631e-01
numerical = -9.325456097774341702e-01   exact = -9.325456097774255104e-01
numerical = -9.580212089806710019e-01   exact = -9.580212089806743325e-01
numerical = -9.775784878297787417e-01   exact = -9.775784878297891778e-01
numerical = -9.910966282881783496e-01   exact = -9.910966282881769063e-01
numerical = -9.984921200065081104e-01   exact = -9.984921200065085545e-01
numerical = -9.997192762204965000e-01   exact = -9.997192762204899497e-01
numerical = -9.947705159877376913e-01   exact = -9.947705159877249237e-01
numerical = -9.836764110201380307e-01   exact = -9.836764110201323685e-01
numerical = -9.665054968226011178e-01   exact = -9.665054968225895715e-01
numerical = -9.433638493045212181e-01   exact = -9.433638493045249929e-01
numerical = -9.143944294800037120e-01   exact = -9.143944294800064876e-01
numerical = -8.797762003045311863e-01   exact = -8.797762003045398460e-01
numerical = -8.397230211044458548e-01   exact = -8.397230211044406367e-01
numerical = -7.944823264286412501e-01   exact = -7.944823264286418052e-01
numerical = -7.443335974844678127e-01   exact = -7.443335974844753622e-01
numerical = -6.895866356004058950e-01   exact = -6.895866356004065612e-01
numerical = -6.305796483816600295e-01   exact = -6.305796483816610287e-01
numerical = -5.676771603818010492e-01   exact = -5.676771603817947209e-01
numerical = -5.012677611973176406e-01   exact = -5.012677611973190839e-01
numerical = -4.317617048969583649e-01   exact = -4.317617048969517590e-01
numerical = -3.595883756152991051e-01   exact = -3.595883756152837285e-01
numerical = -2.851936349676012505e-01   exact = -2.851936349675998628e-01
numerical = -2.090370676725839538e-01   exact = -2.090370676725803178e-01
numerical = -1.315891423984441588e-01   exact = -1.315891423984425213e-01
numerical = -5.332830537190173803e-02   exact = -5.332830537190394460e-02
numerical = 2.526197529552298010e-02   exact = 2.526197529553271190e-02
numerical = 1.036961963045950619e-01   exact = 1.036961963046036939e-01
numerical = 1.814898184381050772e-01   exact = 1.814898184381110446e-01
numerical = 2.581622598749291897e-01   exact = 2.581622598749302444e-01
numerical = 3.332398650566005815e-01   exact = 3.332398650566006926e-01
numerical = 4.062588307658888120e-01   exact = 4.062588307658965281e-01
numerical = 4.767680713411075466e-01   exact = 4.767680713411073801e-01
numerical = 5.443320053256418545e-01   exact = 5.443320053256410773e-01
